id,word,pinyin_final,origin,lang,Unnamed: 6,rus_transcription
0,阿尔申,āěrshén,аршин,,,аршын
1,阿尔西非(合金),āěrxǐfēi,альсифер,,,ал’с’иф’эр
2,阿法林,āfǎlín,афалина,,,афал’ина
3,阿留米特,āliúmǐtè,алюмит,,,ал’ум’ит
4,阿依尔,āyi'ěr,аил,,,аил
5,阿札林,āzhálín,азарин,,,азар’ин
6,艾费勃,àifèibó,офеб(ы),,,оф’эп
7,艾米利通,àimǐlìtōng,эмиритон,,,эм’ир’итон
8,艾木兴(井),àimùxing(jíng),эмшер(ский колодец),!,,эмшэр
9,艾特纳(舞),àitènà(wǔ),этнэ,татарский,,этнэ
10,艾匹配(舞),àipìpèi(wǔ),эпипэ,татарский,,эп’ипэ
11,爱特罗尔,àitèluó'ěr,этрол,,,этрол
12,安诺(文化),ānnuò(wénhuà),анау(ская культура),,,анау
13,奥白尔塔斯(舞),àobái'ěrtǎsī(wǔ),обертас,,,аб’иртас
14,奥白列克(舞),àobáilièkè(wǔ),оберек,,,об’эр’ик
15,奥克索尔(油),àokèsuǒ'ěr(yóu),оксоль,,,аксол’
16,奥罗悲拉,àoluóběilā,оровела,,,аравэла
17,奥潘诺尔,àopānnuò'ěr,оппанол,,,апанол
18,奥司脱拉特,àosītuōlātè,астролит,,,астрал’ит
19,奥苏奥海(舞),àosūàohǎi(wǔ),осуохай,якутский,,осуохай’
20,奥西米那,àoximǐnā,осьмина,,,ас’м’ина
21,巴尔卡波祖克(笛),bā'ěrkǎpǒzǔkè(dí),паркапзук,армянский,,паркабзук
22,巴拉贝伦(枪),pālābèilún(qiāng),парабеллум,немецкий,,параб’элум
23,巴拉莱卡,bālāláikǎ,балалайка,,,балалай’ка
24,巴立克,bālìkè,парик,,,пар’ик
25,巴扬,bāyáng,баян,,,бай’ан
26,板都拉,bāndūlā,бандура,,,бандура
27,班都里,bāndūlǐ,пандури,грузинский,,пандур’и
28,贝尔科维次,bèi'ěrkēwéicì,берковец,,,б’эркав’иц
29,贝科夫(车刀),bèikēfū(chedao),(резец )Быкова,,,быкава
30,贝伊勒贝伊,bèiyilèbèiyi,бейлербей,тюркские,,б’эй’л’ирб’эй’
31,焙结纳克斯(胶),bēijiénàkèsī(jiāo),пертинакс,,,п’ирт’инакс
32,崩得,bēngdé,бунд,идиш,,бунт
33,比奥熙诺尔,bǐ'àoxīnuò'ěr,биохиноль,,,б’иох’инол’
34,比曲格(马),bǐqūgé(mǎ),битюк(/битюг),,,б’ит’ук
35,彼得鲁什卡,bídélǔshíkǎ,петрушка,,,п’итрушка
36,彼尔湖里(舞),bí'ěrhúlǐ(wǔ),перхули,грузинский,,п’ирхул’и
37,壁里砌,bìlìqì,печь,,,п’эч’
38,别旦(式枪),biédàn(shìqiāng),берданка,,,б’ирданка
39,别伊,biéyi,бей,,,б’эй’
40,波尔特阔维契(车刀),bō'ěrtèkuòwéiqì(chedao),(резец )Бортковича,,,бартков’ич’а
41,波加的尔,bōjiādìěr,богатырь,,,багатыр’
42,波利瓦(帽),bōlìwǎ(mào),боливар( шляпа),,,бал’ивар
43,波舍杭,bōshěháng,пошехонец,,,пашыхон’иц
44,波特文牙(汤),bōtèwényá(tāng),ботвинья,,,батв’ин’й’а
45,波雅尔,bōyǎ'ěr,бояре,,,бай’ар’э
46,泊列考斯(羊),bólièkǎosī(yáng),прекос,французский,,пр’икос
47,博尔食(汤),bó'ěrshí(tāng),борщ,,,борш’
48,博克式(头),bókèshì(tóu),бокс( прическа),,,бокс
49,布尔达,bù'ěrdá,бурда,,,бурда
50,布尔冈(红酒),bu'4ěrgāng(hongjiu),бургон(ское),,,бургонскай’э
51,布尔什维克,bù'ěrshíwéikè,большевик,,,бал’шыв’ик
52,布加(风),bùjiā(fēng),пурга,через англ,,пурга
53,布拉吉,bùlājí,платье,,,плат’й’э
54,布冷(风),bùlěng(fēng),буран(/буря),через англ,,буран
55,布乍,bùzhà,буза,,,буза
56,采鲁里(舞),cǎilǔlǐ(wǔ),церули,грузинский,,цырул’и
57,查奴里(琴),chánúlǐ(qín),чванури,грузинский,,ч’ванур’и
58,察庞(漆),chápáng(qī),цапонлак,немецкий,,цапанлак
59,禅格(琴),chángé(qín),ченг,,,ч’энк
60,昌吉(琴),chāngjí(qín),чанги,грузинский,,ч’анг’и
61,昌科布兹(琴),chāngkēbùzī(qín),чанг-кобуз,,,ч’анк-кабус
62,赤特维里克,chìtèwéilǐkè,четверик,,,ч’итвир’ик
63,楚赤贺拉,chǔchìhèlā,чурчхела,,,ч’урч’х’эла
64,楚尼利(琴),chǔnílǐ(qín),чунири,,,ч’ун’ир’и
65,达克斯(狗),dákèsī(gǒu),такса( собака),,,такса
66,达那猛,dánàměng,динамон,,,д’инамон
67,达恰,dáqià,дача,,,дач’а
68,德荷林,déhélín,дехолин,,,д’эхал’ин
69,德拉德达姆(呢),délādédámǔ(ní),драдедам,французский,,драдыдам
70,德纳立脱(炸药),dénàlìtuō(zhàyào),донарит,,,данар’ит
71,狄纳磨,dínàmó,динамо,,,д’инама
72,斗淋,dòulín,долина,через англ,,дал’ина
73,杜阿登诺尔(布),dù'ādēngnuò'ěr(bù),туальденор,,,туал’дынор
74,杜洛克,dùluòkè,дурак( игра),,,дурак
75,杜马,dùmǎ,дума,,,дума
76,杜塔尔,dùtǎ'ěr,дутар,,,дутар
77,杜瓦里希,dùwǎlǐxī,товарищ,托瓦里什 tuo1wa3li3she,tuo1wa3li3she,тавар’иш’
78,敦客,dūnkè,думка,через англ,,думка
79,多木拉,duōmùlā,домра,,,домра
80,多依那,duōyīnà,дойна,румынское,,дой’на
81,法奥利特,fǎ'àolìtè,фаолит,,,фаол’ит
82,方特,fāngtè,фант,немецкий,,фант
83,非那丁,fēinàdīng,фенатин,,,ф’инат’ин
84,费兰德(兔),fèilándé(tù),фландр,,,фландр
85,分特,fēntè,фунт,немецкий,,фунт
86,芬卡(帽),fēnkǎ(mào),финка( шапка),немецкий,,ф’инка
87,佛克律斯(泉),fókèlǜsī(quàn),воклюзы,французский,,вакл’узы
88,弗尔兰纳(舞),fú'ěrlánnà(wǔ),форлана,,,фарлана
89, 弗列克萨顿,fúlièkèsàdùn,флексатон,,,фл’иксатон
90,伏阿普,fú'āpǔ,ВОАПП,,,воап
91,伏尔泰(椅),fú'ěrtài(yǐ),вольтер(овское кресло),,,вал’тэр
92,伏特加,fútějiā,водка,伏特卡 俄得克,,вотка
93,福尔什马克,fú'ěrshímǎkè,форшмак,,,фаршмак
94,富路雅(笛),fùlùyǎ(dí),фуруйя,,,фуруй’а
95,盖克塞纳,gàikèsàinà,гексенал,,,г’икс’инал
96,盖怕龙,gàipàlóng,гепалон,,,г’ипалон
97,高士泼林,gāoshìpōlín,госплан,,,госплан
98,戈比,gēbǐ,копейка,哥比,,кап’эй’ка
99,戈斯帕京,gēsīpàjīng,господин,,,гаспад’ин
100,哥巴克(舞),gēbākè(wǔ),гопак,,,гапак
101,哥洛梅卡(舞),gēluòméikǎ(wǔ),коломыйка,,,каламый’ка
102,格别乌,gébiéwū,ГПУ,,,гэпэу
103,格兰尼托皮,gélánnítuōpí,гранитоль,,,гран’итол’
104,格林斯本,gélínsǐběn,гринсбон,,,гр’инзбон
105,格鲁乌,gélǔwū,ГРУ,,,гру
106,格罗什,géluóshí,грош,,,грош
107,格丝里,gésīlǐ,гесль,,,г’эсл’
108,给亚克(琴),gěiyǎkè(qín),кыяк,,,кый’ак
109,古楚尔(舞),gǔchǔ'ěr(wǔ),гуцулка,,,гуцулка
110,古丝理,gǔsīlǐ,гусли,,,гусл’и
111,哈拉嗦,hālāsuó,хорошо,,,харашо
112,哈拉(呢),hālā(nǐ),халат,,,халат
113,哈勒瓦,hālèwǎ,халва,哈尔娃,,халва
114,哈麦新风,hāmàixīn(fēng),хамсин,,,хамс’ин
115,哈契奇(板),hāqìqī(bǎn),пхачич,адыгский,,пхач’ич’
116,赫罗拉契,hèluólāqì,хлоратит,,,хлорат’ит
117,赫罗姆卡,hèluómǔkǎ,хромка,,,хромка
118,赫洛福斯,hèluòfúsī,хлорофос,,,хларафос
119,黑列巴,hēilièbā,хлеб,,,хл’эп
120,呼多,hūduō,фут,англ,,фут
121,呼特巴,hūtèbā,хутба,,,худба
122,霍尔特(狗),huǒ'ěrtè(gǒu),хорт,,,хорт
123,霍拉(舞),huòlā(wǔ),хора,,,хора
124,霍鲁蜜(舞),huòlǔmì(wǔ),хоруми,,,хорум’и
125,霍罗(舞),huòluó(wǔ),хоро,,,хора
126,基尔什,jī'ěrshí,кирза,,,к’ирза
127,基法拉(琴),jīfǎlā(qín),кифара,,,к’ифара
128,基里尔(字母),jīlǐ'ěr(zìmǔ),кириллица,,,к’ир’ил’ица
129,基什拉克,jīshílākè,кишлак,,,к’ишлак
130,基兹利亚尔(酒),jīzīlìyà'ěr(jiǔ),кизлярка,,,к’изл’арка
131,吉克,jíkè,тик,,,т’ик
132,吉协力,jíxiélì,кисель,,,к’ис’эл’
133,加里哥宇(群落),jiālǐgē(yǔqúnluò),гарига,французский,,гар’ига
134,加曼察(琴),jiāmànchá(qín),кеманча,,,к’эман’ч’а
135,建克曼,jiékèmàn,чекмень,,,ч’экм’эн’
136,九丝列(琴),jiǔsīliè(qín),кюсле,,,к’усл’э
137,喀查普,kāchápǔ,кацап,,,кацап
138,喀马林,kāmǎlín,камаринская,,,камар’инскай’а
139,喀秋莎,kāqiǔshā,катюша,卡秋莎 卡秋霞,,кат’уша
140,卡巴尔达(式长袍),kǎbā'ěrdá(shìchángpáo),кабарда(кабардинка-ружье),,,кабарда
141,卡巴尔达(舞),kǎbā'ěrdá(wǔ),кабарда(кабардинка-танец),,,кабарда
142,卡波立,kǎbōlì,карболит,卡包立,,карбал’ит
143,卡博霍林,kǎbóhuòlín,карбохолин,,,карбахал’ин
144,卡尔那号,kǎ'érnàhào,карнай,тюркские,,карнай’
145,卡尔图里(舞),kǎ'ěrtúlǐ(wǔ),картули,грузинский,,картул’и
146,卡戈尔(酒),kǎgē'ěr(jiǔ),кагор,,,кагор
147,卡拉苏克(文化),kǎlāsūkè(wénhuà),Карасук(ская культура),,,карасук
148,卡那乌斯,kǎnàwúsì,канаус,,,канаус
149,卡普隆,kǎpǔlóng,капрон,卡普纶 卡玻纶,,капрон
150,卡普(呢),kǎpǔ(ní),капп,,,кап
151,卡萨金,kǎsàjīn,казакин,,,казак’ин
152,堪地勒(苹果),kāndìlè(píngguǒ),кандиль,,,кан’д’ил’
153,坎克列斯(琴),kǎnkèlièsī(qín),канклес,литовский,,канкл’эс
154,坎纳(羚羊),kǎnnà(língyáng),канна,,,канна
155,坎涅勒(琴),kǎnnièlè(qín),каннель,,,кан’эл’
156,康秉纳,kāngbǐngnà,комбинат,,,кам’б’инат
157, 康达克特,kāngdǎkètè,контакт,,,кантакт
158,康密莎,kangmisha,комиссар,科密萨尔,,кам’исар
159,康民团,kāngmíntuán,коминтерн,,,камынтэрн
160,康沙模尔,kāngshāmó'ěr,комсомол,共莎莫勒,,камсамол
161,康沙模尔卡,kāngshāmó'ěrkǎ,комсомолка,,,камсамолка
162,康塔里,kāngtǎlǐ,контарь,арабский,,кантар’
163,柯布札,kēbùzhá,кобза,,,кабза
164,科尔火支,kē'ěrhuǒzhī,колхоз,,,калхос
165,科穆兹(琴),kēmùzī(qín),комуз,,,камус
166,科培兹(琴),kēpéizī(qín),кобыз,,,кабыс
167,克格勃,kègébó,КГБ,,,кэгэбэ
168,克拉科维克,kèlākēwéikè,краковяк,,,кракав’ак
169,克雷扎卓克,kèléizházhuōkè,крыжачок,,,крыжач’ок
170,克里姆林(宫),kèlǐmǔlín(gōng),Кремль,через англ,,кр’эмл’
171,克维尔克特(呢),kèwéi'ěrkètè(ní),коверкот,,,кав’эркот
172,客里空,kèlǐkōng,крикун,,,кр’икун
173,库奥克列(琴),kù'àokèliè(qín),кокле,,,кокл’э
174,库贝兹(琴),kùbèizī(qín),кубыз,,,кубыс
175,库莱(笛),kùlái(dí),курай,башкирский,,курай’
176,库穆兹(琴),kùmùzī(qín),кумуз,,,кумус
177,库维契基(笛),kùwéiqìjī(dí),кугиклы,,,куг’иклы
178,库亚维亚克,kùyàwéiyàkè,куявяк,,,куй’ав’ак
179,奎耶塔尔,kuíyētǎ'ěr,квиетал,,,кв’ийэтал
180,拉罗,lāluó,рало,,,рала
181,拉嘛(人猿),lāmá(rényuán),рамапитек,,,рама
182,拉普,lāpǔ,ЛАПП(/РАПП),,,рап/лап
183,拉切密,lāqièmì,лартеми,,,лартэм’и
184,辣博勃,lābóbó,рабоб,,,рабоп
185,莱茵(舞),láiyīn(wǔ),райнлендер,,,рай’нлэндэр
186,蓝威斯曼,lánwēisīmàn,ранверсман,,,ранв’эрсман
187,劳塔尔,láotǎ'ěr,лауталь,,,лаутал’
188,勒涅特喀(苹果),lèniètèkā(píngguǒ),ранетка,,,ран’этка
189,勒兹(舞),lèzī(wǔ),рэз,,,рэс
190,雷电欧,léidiàn'ōu,радиом,,,рад’иом
191,里昂布,lǐ'ángbù,лионез,,,лианэс
192,里拉,lǐlā,лира( инструмент),,,л’ира
193,里欧洗(箱),lǐ'ōuxǐ(xiāng),реобокс,,,р’иобокс
194,里斯图比亚利(舞),lǐsītúbǐyālì(wǔ),ристу-пяре,карельский,,р’иступ’арэ
195,里斯图孔德拉(舞),lǐsītúkǒngdélā(wǔ),ристу-кондра,карельский,,р’истукондра
196,里文式(手风琴),lǐwénshī(shǒufēngqín),ливенка,,,л’ив’энка
197,里车尔卡(曲),lǐchē'ěrkǎ(qǔ),ричеркар,итальянский,,р’ич’эрката
198,里车尔卡塔(曲),lǐchē'ěrkǎtǎ(qǔ),ричерката,итальянский,,р’ич’эркар
199,连接雅(舞),liánjiēyǎ(wǔ),лентея,,,л’эн’т’эй’а
200,列夫,lièfū,ЛеФ,,,л’эф
201,列兹金卡(舞),lièzījīnkǎ(wǔ),лезгинка,,,л’изг’инка
202,卢布,lúbù,рубль,,,рубл’
203,鲁察维提斯(舞),lǔcháwéitísī(wǔ),руцавиетис,,,руцав’ий’эт’ис
204,罗马涅(酒),luómǎniè(jiǔ),романся,,,роман’с’а
205,马合(烟),mǎhé(yān),махорка,,,махорка
206,马克思列宁(主义),mǎkèsīlièníng(zhǔyì),маркс(изм-)ленин(изм),,,маркс’измл’ин’ин’изм
207,马克寻(鱼),mǎkèxún(yú),максун,,,максун
208,马拉(豚鼠),mǎlā(túnshǔ),мара,,,мара
209,马列尔(撄桃),mǎliè'ěr(yīngtáo),марель,,,мар’эл’
210,马林(果),mǎlín(guǒ),малина,,,мал’ина
211,马林果(酒),mǎlínguǒ(jiǔ),малиновка,,,мал’инафка
212,马神,mǎshén,машина,,,машына
213,玛佳玛(体诗),mǎjiāmǎ(tǐshì),маджама,,,маджама
214,玛里尔,mǎlì'ěr,маглил,,,магл’ил
215,玛组卡(饼),mǎzǔkǎ(bǐng),мазурка,,,мазурка
216,麦格阿尼特,màigé'āníte,мэганит,,,мэган’ит
217,曼台斯(牛),màntáisī(niú),мендез,,,м’эндэс
218,美尔库萨尔,měi'ěrkùsà'ěr,меркузал,,,м’иркузал
219,蒙巴谢,méngbāxiè,монпансье,,,манпан’с’й’э
220,蒙特克里斯托(枪),méngtèkèlǐsītuō(qiāng),Монтекристо,,,монтэкр’иста
221,孟什维克,mèngshíwéikè,меньшевик,门室维克,,м’ин’шыв’ик
222,米阿塞诺尔,mǐ'āsènuòěr,миарсенол,,,м’иарс’инол
223,米尔,mǐ'ěr,мир( станция???),,,м’ир
224,米格,mǐgé,МиГ,через англ,,м’ик
225,密切里查,mìqièlǐchá,метелица,,,м’ит’эл’ица
226,莫合(烟),mòhé(yīn),махорка,,,махорка
227,莫罗勘(教),mòluókān(jiào),молокане,,,малакан’и
228,莫斯卡里,mōsīkǎlǐ,москаль,,,маскал’
229,那瓦格(鱼),nàwǎgé(yú),навага,,,навага
230,纳普,nàpǔ,НЭП,,,нэп
231,耐普曼,nàipǔmàn,нэпман,,,нэпман
232,尼莱吉斯特,níláijísītè,нирезист,,,н’ир’из’ист
233,尼特龙,nítèlóng,нитрон,,,н’итрон
234,镍格林,niègélín,никелин,,,н’ик’ил’ин
235,诺加塔,nuòjiātǎ,ногата,,,нагата
236,诺萨里(鱼),nuòsàlǐ(yú),носарь,,,насар’
237,帕拉列比斯(鱼),pàlālièbǐsī(yú),паралепис,,,парал’эп’ис
238,帕明杜尔,pàmíngdù'ěr,пермендюр,,,п’ирм’ин’д’ур
239,帕什得特,pàshídétè,паштет,польский,,пашт’эт
240,帕西林果阿,pàxīlínguǒ'ā,пасилингва,,,пас’ил’ингва
241,品捷(狗),pǐnjié(gǒu),пинчер,,,п’ин’ч’эр
242,朴罗纳尔康,pǔluónà'ěrkāng,пронаркон,,,пранаркон
243,普罗美多,pǔluóměiduō,промедол,,,прам’идол
244,普特,pǔtè,пуд,拨特 铺德,,пут
245,齐巴尼特,qíbānítè,цибанит,,,цыбан’ит
246,齐斯特拉(琴),qísītèlā(qín),цистра,,,цыстра
247,奇尔(鱼),qí'ěr(yú),чир,,,ч’ир
248,奇木波(笛),qímùbō(dí),чимпой,,,ч’импой’
249,契博尼(笛),qìbóní(dí),чибони,,,ч’ибон’и
250,契卡,qìkǎ,ЧК,,,ч’эка
251,契利亚加(葡萄),qìlìyàjiā(pútao),чиляга,,,ч’ил’ага
252,恰特,qiàtè,театр,через левый какой-то язык,,т’иатр
253,锵克(琴),qiāngqè(qín),чанк,,,ч’анк
254,乔特卡(舞),qiáotèkǎ(wǔ),чечетка,,,ч’ич’отка
255,切尔逢涅茨,qiē'ěrféngniècí,червонец,,,ч’ирвон’иц
256,切列巴施,qiēlièbāshīkǎ,черепашка,,,ч’ир’ипашка
257,秋伊久克(笛),qiǔyījiǔkè(dí),тюйкюк,,,т’уй’к’ук
258,若克(舞),ruòkè(wǔ),жок,,,жок
259,萨夫火支,sàfūhuǒzhī,совхоз,,,сафхос
260,萨科利津,sàkēlìjīn,сарколизин,,,саркал’из’ин
261,萨拉玛塔,sàlāmǎtǎ,саламата,,,саламата
262,萨腊范,sàlàfàn,сарафан,,,сарафан
263,萨玛瓦,sàmǎwǎ,самовар,через узбекский,,самавар
264,萨玛亚(舞),sàmǎyà(wǔ),самая( танец),,,самай’а
265,萨那特,sànàtè,сенат,,,с’инат
266,萨皮尚卡黎,sàpíshàngkǎlí,сапожанка,,,сапажанка
267,赛珞切克斯,sàiluòqièkèsī,целлотекс,,,цэлатэкс
268,赛切,sàiqiè,сечь,,,с’эч’
269,三达斯特,sāndásītè,сендаст,,,сэндаст
270,散图尔(琴),sǎntú'ěr(qín),сантур(и),,,сантур’и
271,桑布塔尔,sāngbùtǎ'ěr,сонбутал,,,санбутал
272,沙尔,shā'ěr,царь,,,цар’
273,沙尔玛风,shā'ermǎ(fēng),сарма,,,сарма
274,沙尔苏林碱,shā'ěrsūlín(jiǎn),сальсолин,,,сал’сан’ин
275,沙尔特什(笛),shā'ěrtèshí(dí),шиалтыш,,,шыалтыш
276,沙赫里查(笛),shāhèlǐchá(dí),шахлича,,,шахл’ич’а
277,沙康那(舞),shākāngnà(wǔ),шаконна,,,шакана
278,沙康(舞),shākāng(wǔ),шаконна,,,шакана
279,沙拉霍(舞),shālāhuǒ(wǔ),шалахо,,,шалахо
280,沙莫瓦,shāmòwǎ,самовар,,,самавар
281,沙普克,shāpǔkè,шапка,,,шапка
282,沙沃尼特,shāwònítè,савонит,,,саван’ит
283,沙油子,shāyóuzhǐ,союз,,,сай’ус
284,山卡芬,shānkǎfēn,санкафен,,,санкаф’эн
285,施查普什纳(琴),shīchápǔshínà(qín),шичапшина,,,шыч’ипшына
286,施切普申(琴),shīqièpǔshēn(qín),шичепшин,,,шыч’ипшын
287,什卡利克,shíkǎlìkè,шкалик,,,шкал’ик
288,什托夫,shítuōfū,штоф,,,штоф
289,什托斯,shítuōsī,штосс,,,штос
290,什维(笛),shíwéi(dí),шви,,,шв’и
291,舒姆卡(舞),shūmǔkǎ(wǔ),шумка,,,шумка
292,司贝兹加(笛),sībèizíjiā(dí),сыбызга,,,сыбызга
293,司梅兹加(笛),sīméizíjiā(dí),сымызга,,,сымызга
294,斯巴达克 运动团,sībādákè,спартак,,,спартак
295,斯科契那(舞),sīkēqìnà(wǔ),скочна,,,скоч’на
296,斯普特尼克,sīpǔtèníkè,спутник,,,спут’н’ик
297,斯坦尼茨,sītǎnnící,станица,,,стан’ица
298,斯特立沙克(舞),sītèlìshākè(wǔ),страшак,,,страшак
299,斯特罗衣查(节),sītèluóyīchā(jié),троица(~ын день),,,троицын
300,斯特维利(笛),sītèwéilì(dí),ствири,,,ств’ир’и
301,斯锑普锑轻,sītīpǔtīqīng,стиптицин,,,с’т’ипт’ицын
302,斯提赫,sītíhè,штих,,,шт’их
303,苏达利,sūdálì,сударь,,,судар’
304,苏达鲁尼亚,sūdálǔníyà,сударыня,,,сударын’а
305,苏尔纳,sū'ěrnà,сурна,,,сурна
306,苏伏泼林,sūfúpōlín,совпрен,,,сафпр’эн
307,苏克提尼斯(舞),sūkètínísī(wǔ),суктинис,,,сукт’ин’ис
308,苏玛利娜(舞),sūmǎlìnà(wǔ),судмалинас,,,судмал’инас
309,苏维埃,sūwéi'āi,совет,,,сав’эт
310,苏维尼特,sūwéinítè,совенит,,,сав’ин’ит
311,苏苇尔(笛),sūwěi'ěr(dí),шювюр,,,шав’ур
312,索科勒,suǒkēlè,сокол,,,сокал
313,索里德,suǒlǐdé,солид,,,сал’ит
314,索里多尔,suǒlíduō'ěr,солидол,索里多,,сал’идол
315,索立伐,suǒlìfá,сольвар,,,сол’вар
316,塔尔,tǎ'ěr,тар,,,тар
317,塔夫拉克罐鼓,tǎfūlākè(guàngǔ),тавляк,таджикский,,тавл’ак
318,塔加尔(文化),tǎjiā'ěr(wénhuà),тагар(ская культура),,,тагар
319,塔腊卡玛(舞),tālàkǎmǎ(wǔ),таракама,,,таракама
320,塔里(琴),tǎlǐ(qín),тари,,,тар’и
321,塔罗加多(笛),tǎluójiāduō(dí),тарогато,,,тарагата
322,塔齐耶,tǎqíyé,тазие,,,таз’ий’э
323,泰加(群落),tàijiā(qúnluò),тайга,через англ,,тай’га
324,特里波里(文化),tèlǐbōlǐ(wénhuà),триполье(~ская культура),,,тр’ипол’й’э
325,特里米塔(排萧),tèlǐmǐtǎ(páixiāo),тримитас,,,тр’им’итас
326,特连比达(号),tèliánbǐdá(hào),трембита,,,тр’им’б’ита
327,特烈帕克(舞),tèlièpàkè(wǔ),трепак,,,тр’ипак
328,特罗利图耳,tèluólìtú'ěr,тролитул,,,трал’итул
329,梯朋,tīpéng,тибон,,,т’ибон
330,替吩,tìfēn,тифен,,,т’иф’эн
331,图博方(打琴),túbófāng(dǎqín),тубофон,,,тубафон
332,托尔班(琴),tuō'ěrbān(qín),торбач,,,тарбач’
333,托加(喜剧),tuōjiā(xǐqù),тогата,,,тагата
334,托洛茨基(派),tuōluócíjī(pài),троцкий(троцкист),,,трацк’ист
335,托鲁比尔(笛),tuōlǔbǐ'ěr(dí),торупилль,,,таруп’ил’
336,托其卡,tuōqíkǎ,точка,,,точ’ка
337,瓦甫尔(油),wǎfǔ'ěr(yóu),вапор,латынь,,вапар
338,瓦普,wǎpǔ,ВАПП,,,вап
339,万卡,wànkǎ,ванка,,,ванка
340,维得罗,wéidéluó,ведро,维德罗 维特罗,,в’идро
341,维尔夫,wéi'ěrfū,вервь,,,в’эрф’
342,维尔木特(酒),wéi'ěrmùtè(jiǔ),вермут,,,в’эрмут
343,维尔勺克,wéi'ěrsháokè,вершок,,,в’иршок
344,维尔斯特,wéi'ěrsītè,верста,,,в’ирста
345,维克萨钦(油布),wéikèsàqīn(yóubù),виксатин,,,в’иксат’ин
346,维洛西特,wéiluòxītè,велосит,,,в’илас’ит
347,维霜(绸),wéishuāng(chóu),виссон,,,в’исон
348,维斯考金(油),wéisīkǎojīn(yóu),вискозин,,,в’исказ’ин
349,维特(铁),wēitè(tiě),вит(-железо),,,в’ит
350,温塔,wēntǎ,вента,,,в’эн’та
351,翁查(木船),wēnchá(mùchuán),унжак,,,унжак
352,沃里塔(布),wòlǐtǎ(bù),вольта,,,вол’та
353,沃里托李,wòlǐtuōlǐ,вольтоли,,,вал’тол’и
354,乌达勃诺(古猿),wūdábónuò(gǔyuán),удабнопитек,,,удабно
355,乌发尔(舞),wūfā'ěr(wǔ),уфар,,,уфар
356,乌芦斯,wūlúsī,улус,,,улус
357,乌罗丹,wūluódān,уродан,,,урадан
358,乌维万涅茨(舞),wūféiwànniècí(wǔ),увиванец,,,ув’иван’иц
359,乌治(舞),wūzhì(wǔ),удж,,,утш
360,乌兹了,wūzīliáo,узляу,,,узл’ау
361,乌宗达拉(舞),wūzōngdálā(wǔ),удундара,,,удундара
362,西比尔卡,xībǐ'ěrkǎ,сибирка,,,с’иб’ирка
363,西尔赫洛姆(铁),xī'ěrhèluòmǔ(tiě),сильхром,,,с’ил’хром
364,西伏,xīfú,сиф,,,с’иф
365,西古多克(琴),xīgǔduōkè(qín),сигудок,,,с’игудок
366,西拉尔(铁),xīlā'ěr(tiě),силал,,,с’илал
367,西姆德(舞),xīmǔdé(wǔ),симд,,,с’имд
368,希度拿,xīdùná,гедонал,,,г’иданал
369,矽罗克西康,xīluòkèxīkāng,силоксикон,,,с’илакс’икон
370,习明纳尔,xímíngnà'ěr,семинар,,,с’им’инар
371,席乐夫(钻头),xílèfū(zuàntóu),(сверло )Жирова,,,жырова
372,谢卡连,xièkǎlián,секалог,,,с’икалок
373,谢朴托弗拉文,xièpǔtuōfúlāwén,септофлавин,,,с’иптафлав’ин
374,雅赫维,yǎhèwéi,яхве,,,й’ахв’э
375,雅克(式战斗机),yǎkè(shìzhàndòujī),Як( КБ Яковлев),,,й’ак
376,雅蕾克(舞),yǎlěikè(wǔ),яльке,,,й’ал’к’э
377,雅蕾(舞),yǎlěi(wǔ),яллы,,,й’алы
378,叶拉拿西,yèlānáxī,ералаш,,,й’иралаш
379,伊查菲宁,yīcháfēiníng,изафонин,,,изафан’ин
380,伊达尔戈,yīdá'ěrgē,идальго,исп,,идал’га
381,伊凡诺维基,yīfánnuòwéijī,Иванович,,,иванав’ич’
382,伊斯拉梅(舞),yīsīlāméi(wǔ),исламей,,,ислам’эй’
383,伊万古巴拉,yīwàngǔbālā,иван-купала,,,иванкупала
384,尤里耶夫(节),yóulǐyéfū(jié),Юрьев( день),,,й’ур’й’иф
385,尤罗奇卡(舞),yóuluóqíkǎ(wǔ),юрочка,,,й’урач’ка
386,扎列卡(管),zhálièkǎ(guǎn),жалейка,,,жал’эй’ка
387,卓克(舞),zhuōkè(wǔ),джок,,,джок
